datetime,open,high,low,volume,SMA_12,SMA_26,RSI,close
12/25/2023 6:29,43120,43123.99,43119.99,7.55304,43110.62833,43082.24077,57.19648562,43120.02
12/25/2023 6:30,43120.01,43121.11,43120.01,5.34835,43111.73583,43085.52231,41.93303717,43121.1
12/25/2023 6:31,43121.11,43144.2,43121.1,16.71066,43113.6825,43089.52615,48.84009547,43135.06
12/25/2023 6:32,43135.05,43135.06,43135.05,8.96207,43115.03333,43094.29308,68.14064997,43135.05
12/25/2023 6:33,43135.06,43135.06,43135.05,4.77948,43117.12083,43099.02654,66.40449438,43135.06
12/25/2023 6:34,43135.05,43135.06,43132.24,9.14531,43119.27417,43103.32077,61.3105239,43133.65
12/25/2023 6:35,43133.66,43133.66,43130,6.33311,43121.21583,43107.03115,66.57820534,43130
12/25/2023 6:36,43130.01,43130.01,43107,7.67796,43121.24,43109.84115,49.50055494,43107
12/25/2023 6:37,43107.01,43128.6,43107,12.98069,43123.2775,43113.41462,60.77968104,43128.6
12/25/2023 6:38,43128.6,43128.6,43121.33,6.84023,43125.47667,43116.70885,56.71628078,43121.33
12/25/2023 6:39,43121.34,43121.34,43121.33,2.60967,43125.68417,43117.90308,58.08636749,43121.34
12/25/2023 6:40,43121.34,43121.34,43121.33,5.92009,43125.795,43118.94385,63.59048306,43121.33
12/25/2023 6:41,43121.33,43121.34,43121.33,4.72144,43125.905,43119.68769,51.70105206,43121.34
12/25/2023 6:42,43121.34,43128.6,43121.33,13.52005,43126.53,43119.40346,55.42244641,43128.6
12/25/2023 6:43,43128.6,43130.16,43128.59,6.64654,43126.12,43119.12077,56.26082653,43130.14
12/25/2023 6:44,43130.15,43130.15,43115.4,14.92211,43124.86583,43119.58962,49.38807299,43120
12/25/2023 6:45,43120,43132.25,43119.99,5.38,43124.63083,43120.37962,48.40063521,43132.24
12/25/2023 6:46,43132.24,43140.07,43132.24,6.00496,43125.16583,43121.19615,52.61512815,43140.07
12/25/2023 6:47,43140.07,43140.07,43131.98,7.97267,43125.50333,43122.12077,49.50485342,43134.05
12/25/2023 6:48,43134.05,43145.72,43134.05,10.96865,43128.72917,43123.57846,55.37241625,43145.71
12/25/2023 6:49,43145.71,43148.14,43140,18.54272,43130.3575,43125.17231,58.16969915,43148.14
12/25/2023 6:50,43148.14,43148.14,43148.13,4.50057,43132.59167,43126.76577,73.36968871,43148.14
12/25/2023 6:51,43148.14,43158.59,43135.02,44.05006,43133.73167,43127.95308,54.03570531,43135.02
12/25/2023 6:52,43135.03,43139.33,43135.02,7.8147,43135.23083,43129.66,61.74742066,43139.32
12/25/2023 6:53,43139.32,43139.33,43135.02,7.55285,43136.37167,43130.28231,58.46629561,43135.03
12/25/2023 6:54,43135.03,43146.5,43135.02,6.5946,43137.8625,43131.30115,63.62946912,43146.49
12/25/2023 6:55,43146.5,43150.81,43146.49,5.32011,43139.58417,43132.485,65.2484472,43150.8
